name,acronym,description.label_fr,link,contact_type.label_fr,contact,dataset_type.label_fr,environment.label_fr,nature.label_fr,subthematic.label_fr,measurement_data,exposure_factor.label_fr,exposure_factor_category.label_fr,thematic_category.label_fr,has_restrictions,has_pricing,has_compliance,license_name.label_fr,license_type.label_fr,is_opendata,files_format.label_fr,other_acess_point,data_domain.label_fr,related_references,automatic_update,broadcast_mode.label_fr,downloadable,has_documentation,has_filter,has_missing_data,has_search_engine,temporal_scale.label_fr,update_frequency.label_fr,volume,year,year_start,year_end,is_geospatial_data,geographical_information_level,projection_system.label_fr,related_geographical_references,administrative_territory_coverage,geospatial_geographical_coverage
mes idf horaire pm25,,"Mesures aux stations pour le polluant PM2,5. Les stations sont celles du minimum européen. Les données horaires des dernières 24h sont mises à jour quotidiennement à 14h (locale).",,,"[""informatique@airparif.fr""]",,Air,,Pollution atmosphérique ambiante,,,Polluants de l'air,,,false,false,ODbl,Attribution,,,,Environnement,,false,,,false,true,false,true,,Quotidienne,,09/2017- en cours,2017,,true,"[{""label_fr"":""IDF"",""label_en"":""IDF""}]",,,,IDF
mes idf horaire pm10,,Mesures aux stations par polluant et par granulométrie temporelle.,,,"[""informatique@airparif.fr""]",,Air,,Pollution atmosphérique ambiante,,,Polluants de l'air,,,false,false,ODbl,Attribution,,,,Environnement,,false,,,false,true,false,true,,Quotidienne,,09/2017- en cours,2017,,true,"[{""label_fr"":""IDF"",""label_en"":""IDF""}]",,,,IDF
mes idf horaire o3,,Mesures aux stations par polluant et par granulométrie temporelle.,,,"[""informatique@airparif.fr""]",,Air,,Pollution atmosphérique ambiante,,,Polluants de l'air,,,false,false,ODbl,Attribution,,,,Environnement,,false,,,false,true,false,true,,Quotidienne,,09/2017- en cours,,,true,"[{""label_fr"":""IDF"",""label_en"":""IDF""}]",,,,IDF
mes idf horaire nox,,Mesures aux stations par polluant et par granulométrie temporelle.,,,"[""informatique@airparif.fr""]",,Air,,Pollution atmosphérique ambiante,,,Polluants de l'air,,,false,false,ODbl,Attribution,,,,Environnement,,false,,,false,true,false,true,,Quotidienne,,09/2017- en cours,,,true,"[{""label_fr"":""IDF"",""label_en"":""IDF""}]",,,,IDF
Données HAP HAM et métaux de 2016 à 2019,HAM-HAP,Moyennes annuelles des concentrations de HAM-HAP et métaux par station,,,"[""informatique@airparif.fr""]",,Air,,Pollution atmosphérique ambiante,,,Polluants de l'air,,,false,false,ODbl,Attribution,,,,Environnement,,,,,false,true,false,true,,Annuelle,,2016 - 2019,2016,2019,true,"[{""label_fr"":""IDF"",""label_en"":""IDF""}]",,,,IDF
Données HAM HAP METAUX de 2019 à 2020,HAM-HAP,Moyennes annuelles des concentrations de HAM-HAP et métaux par station,,,"[""informatique@airparif.fr""]",,Air,,Pollution atmosphérique ambiante,,,Polluants de l'air,,,false,false,ODbl,Attribution,,,,Environnement,,,,,false,true,false,true,,Annuelle,,2019 - 2020,2019,2020,true,"[{""label_fr"":""IDF"",""label_en"":""IDF""}]",,,,IDF
ind idf agglo,,Indice ATMO,,,"[""informatique@airparif.fr""]",,Air,,Pollution atmosphérique ambiante,,,Polluants de l'air,,,false,false,ODbl,Attribution,,,,Environnement,,,,,false,true,false,true,,Quotidienne,,03/01/2021 - 16/02/2021,2021,2021,true,"[{""label_fr"":""IDF"",""label_en"":""IDF""}]",,,,IDF
emi idf epci 2015,,Emissions pour tous les secteurs d’activité confondus.,,,"[""informatique@airparif.fr""]",,Air,,Pollution atmosphérique ambiante,,,Polluants de l'air,,,false,false,ODbl,Attribution,,,,Environnement,,,,,false,true,false,true,,Irrégulière,,2015,2015,,true,"[{""label_fr"":""IDF"",""label_en"":""IDF""}]",,,,IDF
emi idf departement 2015,,Emissions pour tous les secteurs d’activité confondus.,,,"[""informatique@airparif.fr""]",,Air,,Pollution atmosphérique ambiante,,,Polluants de l'air,,,false,false,ODbl,Attribution,,,,Environnement,,,,,false,true,false,true,,Irrégulière,,2015,2015,,true,"[{""label_fr"":""IDF"",""label_en"":""IDF""}]",,,,IDF
emi idf region 2015,,Emissions pour tous les secteurs d’activité confondus.,,,"[""informatique@airparif.fr""]",,Air,,Pollution atmosphérique ambiante,,,Polluants de l'air,,,false,false,ODbl,Attribution,,,,Environnement,,,,,false,true,false,true,,Irrégulière,,2015,2015,,true,"[{""label_fr"":""IDF"",""label_en"":""IDF""}]",,,,IDF
exp idf zag 2017 pm10 35j sup 50ug,,"Exposition des populations et territoires au polluant PM10. Cette couche concerne l'exposition pour la zone d'agglomération (ZAG)  d'Île-de-France au critère ""35 jours supérieurs à 50µg/m3"" pour l'année 2017.Les valeurs suivantes sont exposées dans la couche : nbre_hab_expo : nombre d'habitants exposéssuperficie_expo : superficie exposée en km2longueur_voirie_expo : longueur de voirie exposée en km",,,"[""informatique@airparif.fr""]",,Air,,Pollution atmosphérique ambiante,,,Polluants de l'air,,,false,false,ODbl,Attribution,,,,Environnement,,,,,false,true,false,true,,Irrégulière,,2017,2017,,true,"[{""label_fr"":""IDF"",""label_en"":""IDF""}]",,,,IDF
exp idf idf 2017 no2 moyennne annuelle,,"Exposition des populations et territoires au polluant NO2. Cette couche concerne l'exposition pour la totalité de la région Île-de-France au critère ""40 µg/m³ en moyenne annuelle en NO2"" pour l'année 2017.Les valeurs suivantes sont exposées dans la couche : nbre_hab_expo : nombre d'habitants exposéssuperficie_expo : superficie exposée en km2",,,"[""informatique@airparif.fr""]",,Air,,Pollution atmosphérique ambiante,,,Polluants de l'air,,,false,false,ODbl,Attribution,,,,Environnement,,,,,false,true,false,true,,Irrégulière,,2017,2017,,true,"[{""label_fr"":""IDF"",""label_en"":""IDF""}]",,,,IDF
exp idf zag 2017 pm10 moyenne annuelle 40,,"Exposition des populations et territoires au polluant PM10. Cette couche concerne l'exposition pour la zone d'agglomération (ZAG)  d'Île-de-France au critère ""40 µg/m³ en moyenne annuelle en PM10"" pour l'année 2017.Les valeurs suivantes sont exposées dans la couche : nbre_hab_expo : nombre d'habitants exposéssuperficie_expo : superficie exposée en km2longueur_voirie_expo : longueur de voirie exposée en km",,,"[""informatique@airparif.fr""]",,Air,,Pollution atmosphérique ambiante,,,Polluants de l'air,,,false,false,ODbl,Attribution,,,,Environnement,,,,,false,true,false,true,,Irrégulière,,2017,2017,,true,"[{""label_fr"":""IDF"",""label_en"":""IDF""}]",,,,IDF
exp idf idf 2017 pm10 moyenne annuelle 40,,"Exposition des populations et territoires au polluant PM10. Cette couche concerne l'exposition pour la totalité de la région Île-de-France au critère ""40 µg/m³ en moyenne annuelle en PM10"" pour l'année 2017.Les valeurs suivantes sont exposées dans la couche : nbre_hab_expo : nombre d'habitants exposéssuperficie_expo : superficie exposée en km2longueur_voirie_expo : longueur de voirie exposée en km",,,"[""informatique@airparif.fr""]",,Air,,Pollution atmosphérique ambiante,,,Polluants de l'air,,,false,false,ODbl,Attribution,,,,Environnement,,,,,false,true,false,true,,Irrégulière,,2017,2017,,true,"[{""label_fr"":""IDF"",""label_en"":""IDF""}]",,,,IDF
exp idf idf 2017 pm10 35j sup 50ug,,"Exposition des populations et territoires au polluant PM10. Cette couche concerne l'exposition pour la totalité de la région Ile-de-France au critère ""35 jours supérieurs à 50µg/m3"" pour l'année 2017.Les valeurs suivantes sont exposées dans la couche : nbre_hab_expo : nombre d'habitants exposéssuperficie_expo : superficie exposée en km2longueur_voirie_expo : longueur de voirie exposée en km",,,"[""informatique@airparif.fr""]",,Air,,Pollution atmosphérique ambiante,,,Polluants de l'air,,,false,false,ODbl,Attribution,,,,Environnement,,,,,false,true,false,true,,Irrégulière,,2017,2017,,true,"[{""label_fr"":""IDF"",""label_en"":""IDF""}]",,,,IDF
exp idf zag 2017 no2 moyennne annuelle,,"Exposition des populations et territoires au polluant NO2. Cette couche concerne l'exposition pour la zone d'agglomération (ZAG)  d'Île-de-France au critère ""40 µg/m³ en moyenne annuelle en NO2"" pour l'année 2017.Les valeurs suivantes sont exposées dans la couche : nbre_hab_expo : nombre d'habitants exposéssuperficie_expo : superficie exposée en km2longueur_voirie_expo : longueur de voirie exposée en km",,,"[""informatique@airparif.fr""]",,Air,,Pollution atmosphérique ambiante,,,Polluants de l'air,,,false,false,ODbl,Attribution,,,,Environnement,,,,,false,true,false,true,,Irrégulière,,2017,2017,,true,"[{""label_fr"":""IDF"",""label_en"":""IDF""}]",,,,IDF
Inventaire et situation des déchets,OBSINV,"Description de la nature physique des déchets; Description des colis de déchets, volumes conditionnés (stocks et prévisions), activité des déchets (stocks et prévisions), toxiques chimiques",,,"[""ANDRA""]",,,Agents Physiques,Déchets radioactifs ,,,Radioactivité,,,false,false,Licence Ouverte Etalab,Attribution,,,,Environnement,,,,,true,true,false,true,,Annuelle,,2013-2019,2013,2019,true,"[{""label_fr"":""FRA"",""label_en"":""FRA""}]",,,,FRA
Cartes des antennes et des mesures radioélectriques,Cartoradio,"Emplacement des stations radioélectriques et accès, pour un site donné, aux résultats des mesures de champs électromagnétiques synthétisés",,,"[""ANFR""]",,,Agents Physiques,Radiofréquence,,,Ondes radioélectriques,,,false,false,Non renseigné,Attribution,,,,Environnement,,,,,true,true,false,true,,Régulière,,2003 - en cours,2003,,true,"[{""label_fr"":""FRA"",""label_en"":""FRA""}]",,,,FRA
Etude de l'Alimentation Totale 2 (EAT),EAT2,"Teneur moyenne en divers contaminants chimiques dans les aliments ""tels que consommés"" (445 substances)",,,"[""ANSES""]",,,Pesticides,Contaminants chimiques dans l'alimentation,,,Polluants de l'alimentation,,,false,false,Licence Ouverte Etalab,Attribution,,,,Santé,,,,,true,true,false,true,,Irrégulière,,2007 - 2009,2007,2009,true,"[{""label_fr"":""FRA"",""label_en"":""FRA""}]",,,,FRA
Registre Parcellaire Graphique,RPG,Le registre parcellaire graphique est une base de données géographiques servant de référence à l'instruction des aides de la politique agricole commune (PAC).,,,"[""ASP""]",,Sols,,Milieux agricoles,,,Pesticides/biocides/NDVI,,,false,true,Licence Ouverte Etalab,Attribution,,,,Environnement,,,,,true,true,false,true,,Annuelle,,depuis 2010,2010,,true,"[{""label_fr"":""FXX+GLP+MTQ+GUF+REU"",""label_en"":""FXX+GLP+MTQ+GUF+REU""}]",,,,FXX+GLP+MTQ+GUF+REU
BASIAS - Inventaire historique de Sites Industriels et Activités de Service,BASIAS,"L’inventaire des anciennes activités industrielles et activités de service, est conduit systématiquement à l’échelle départementale depuis 1994. Les données recueillies dans le cadre de ces inventaires sont archivées dans une base de données nationale, BASIAS (Base des Anciens Sites Industriels et Activités de Service) disponible sur Internet.",,,"[""basias@brgm.fr""]",,Sols,,Sites et sols pollués,,,Polluants du sol (composés organiques et métaux),,,true,true,Licence Ouverte Etalab,Attribution,,,,Environnement,,,,,true,false,false,true,,Irrégulière,,1994 - en cours,1994,,true,"[{""label_fr"":""FXX+GLP+MTQ+GUF+REU"",""label_en"":""FXX+GLP+MTQ+GUF+REU""}]",,,,FXX+GLP+MTQ+GUF+REU
Installations industrielles,ICPE,"Ce jeu de données correspond aux Installations classées pour la protection de l'environnement (ICPE) soumises à autorisation ou à enregistrement (en construction, en fonctionnement ou en cessation d'activité). La fréquence de mise à jour de ce jeu de données est quotidienne.",,,"[""BRGM""]",,Sols,,Pollution / Contamination des sols,,,"Polluants du sol, polluants de l'air",,,false,false,Licence Ouverte Etalab,Attribution,,,,Environnement,,,,,true,true,false,true,,Quotidienne,,,,,true,"[{""label_fr"":""FRA"",""label_en"":""FRA""}]",,,,FRA
Cartographie départementale de l'aléa amiante environnemental,,Cartographie de la susceptibilité de présence d'amiante dans les formations susceptibles de renfermer des minéraux amiantifères (avec échantillons à des fins minéralogiques et analytiques). Inventaire complété par l'expertise du potentiel amiantifère d'une cinquantaine de carrières.,,,"[""""]",,Sols,,Amiante naturel en affleurements dans les formations géologiques ,,,Amiante,,,false,false,Non renseigné,,,,,Environnement,,false,,,true,true,true,true,,Irrégulière,,2009 - en cours,2009,,true,"[{""label_fr"":""FXX"",""label_en"":""FXX""}]",,,,FXX
Base de données sur la qualité des sols urbains,BdSolU,"Principales analyses : arsenic, cuivre, chrome, plomb, zinc, nickel, cadmium, mercure, cyanures totaux, indice phénol, fractions carbonées des hydrocarbures C10 à C40, PCB indicateurs, 7 PCDD et 10 PCDF et métadonnées",,,"[""bdsolu@brgm.fr""]",,Sols,,Qualité des sols urbains,,,Polluants du sol (composés organiques et métaux),,,false,true,Non renseigné,,,,,Environnement,,false,,,true,true,false,true,,Irrégulière,,2010 - en cours,2010,,true,"[{""label_fr"":""FXX"",""label_en"":""FXX""}]",,,,FXX
Point d'eau ADES,,"Chaque point d'eau est doté d'un code national. Il s'agit du code du dossier du point d'eau au sein de la Banque du Sous-Sol (BSS). Il est constitué de la concaténation de l'indice BSS (10 caractères) et de la désignation BSS (6 caractères) séparé par un caractère ""/"". Chaque point d'eau est localisé par ses coordonnées géographiques dans le cadre d'un système de projection et rattaché à la commune sur le territoire de laquelle, il est situé. L'affectation de la commune, altitude , les coordonées géographiques au point d'eau est sous la responsabilité des services géologiques régionaux du BRGM dans le cadre de sa mision de gestion de la BSS. Les informations sur les points d'eau relèvent de la responsabilité des gestionnaires des différentes fonctions du point d'eau.",,,"[""sandre@sandre.eaufrance.fr""]",,Eau,,Qualité de l'eau,,,Polluants de l'eau,,,false,true,Licence Ouverte Etalab,Attribution,,,,Environnement,,false,,,false,true,false,true,,Irrégulière,,,,,true,"[{""label_fr"":""FRA"",""label_en"":""FRA""}]",,,,FRA
Banque du sous-sol,BSS,"La BSS recense les fiches signalétiques de l'ensemble des ouvrages de la BSS (plus de 700.000 ouvrages décrits, associés à plus de 2.000.000 de pages de documents techniques). La Banque de données du Sous-Sol (BSS) contient des informations brutes géologiques et techniques relatives à des ouvrages souterrains : localisation, objet, description géologique, équipement technique des forages. Les informations mises à la disposition du public dans les documents de la Banque du Sous-Sol (BSS), sont communiquées par des tiers dans le cadre des dispositions prévues par le Code Minier (art. 131 à 136).",,,"[""bss@brgm.fr""]",,Sols/Eau,,Géologie,,,Polluants du sol,,,false,false,Licence Ouverte Etalab,Attribution,,,,Environnement,,false,,,true,true,false,true,,Irrégulière,,en cours,,,true,"[{""label_fr"":""FRA"",""label_en"":""FRA""}]",,,,FRA
Banque nationale d'Accès aux Données sur les Eaux Souterraines,ADES,Données quantitatives (niveau des nappes) et qualitatives (concentration de nombreux paramètres) relatives aux eau􏰄 souterraines: 263 r􏰃seau􏰄 d􏰃clar􏰃s contenant 75954 points d􏰁eau comportant 4265 piézomètres et 72975 qualitomètres.,,,"[""ades@brgm.fr""]",,Eau,,Eauxs souterraines ,,,Polluants de l'eau,,,false,false,,,,,,Environnement,,,,,false,true,false,true,,Régulière,,Variable selon les données - en cours,,,true,"[{""label_fr"":""FRA"",""label_en"":""FRA""}]",,,,FRA
BD Lisa,,"Ce référentiel comporte les jeux de données géographiques suivants :- Entités hydrogéologiques de niveau 3 (local) ;- Polygones élémentaires délimitant chaque pile unique d'entités hydrogéologiques ;- Zones karstiques, zones caractérisées comme étant de milieu karstique ou alimentant des sources karstiques;- Zones altérites meubles, polygones d’extension des zones au sein desquelles la présence de formations géologiques altérées meubles (saprolite) a été mise en évidence ou est supposée.",,,"[""sandre@sandre.eaufrance.fr""]",,Eau,,Référentiel hydrogéologique français,,,,,,false,false,Licence Ouverte Etalab,Attribution,,,,Référentiel,,,,,true,true,false,true,,Annuelle,,,,,true,"[{""label_fr"":""FRA"",""label_en"":""FRA""}]",,,,FRA
Cartographie régionale du bruit en Île-de-France,,"Cartographies du bruit associé au trafic routier, au trafic aérien et au trafic ferroviaire selon les indicateurs Lden et Ln, carte des zones de dépassements des valeurs limites réglementaires, ainsi que statistiques associées d’exposition au bruit de la population.",,,"[""demande@bruitparif.fr""]",,,Agents Physiques,Cartographie du bruit associé aux trafics,,,Bruit,,,false,false,Licence Ouverte Etalab,Attribution,,,,Environnement,,,,,true,true,false,true,,Irrégulière,,"2007 - 2012, 2017",2007,2017,true,"[{""label_fr"":""IDF"",""label_en"":""IDF""}]",,,,IDF
Base de données des pratiques et niveaux d’exposition aux musiques amplifiées du jeune public,Kiwi,"Niveaux et temps d’écoute individuels de musique au casque ou avec des écouteurs, matériel utilisé, autres sources d’exposition (fréquentation de lieux de diffusion de musique amplifiée, pratique musicale, jeux vidéo)",,,"[""kiwi@bruitparif.fr""]",,,Agents Physiques,Niveaux d'exposition aux musiques amplifiées du jeune publique,,,Bruit,,,true,false,Non renseigné,,,,,Santé,,,,,false,true,false,true,,Non renseigné,,2015 - en cours,2015,,true,"[{""label_fr"":""IDF"",""label_en"":""IDF""}]",,,,IDF
RUMEUR,,"Données de mesure et indicateurs de bruit (indicateurs énergétiques, indicateurs événementiels, indice grand public Harmonica) issus des stations permanentes de Bruitparif (plus de 50 stations permanentes) ainsi que des campagnes de mesure (plus de 600 mesures de court terme). Le nombre de sites de mesure est en progression constante.Liste des pics de bruit liés à des survols aéronefs sur les stations de mesure du bruit aéroportuaire (avec caractéristiques acoustiques associés)",,,"[""demande@bruitparif.fr""]",,,Agents Physiques,Mesures de bruit,,,Bruit,,,false,false,Non renseigné,,,,,Environnement,,,,,false,true,false,true,,Non renseigné,,2009 - en cours,2009,,true,"[{""label_fr"":""IDF"",""label_en"":""IDF""}]",,,,IDF
Casier viticole informatisé,CVI,"Le casier viticole informatisé (CVI) est un outil que les États membres de l'Union européenne doivent tenir obligatoirement. Il contient notamment toutes les informations relatives aux entreprises vitivinicoles, aux parcelles plantées ou arrachées, les niveaux de production et de stock.",,,"[""""]",,Sols,,Parcelles vitivinicoles,,,Pesticides/biocides,,,true,true,,,,,,Environnement,,,,,true,false,false,true,,Non renseigné,,1998 - en cours,1998,,true,"[{""label_fr"":""FRA"",""label_en"":""FRA""}]",,,,FRA
Carroyage DFCI,,Le carroyage DFCI est un maillage géographique utilisé en France par les acteurs de la Défense des forêts contre les incendies (DFCI).,,,"[""contact-pont@valabre.com""]",,Sols,,Carroyage,,,Polluants de l'air/pesticides/NDVI,,,false,true,Licence Ouverte Etalab,Attribution,,,,Référentiel,,false,,,true,true,false,true,,Irrégulière,,,,,true,"[{""label_fr"":""FXX"",""label_en"":""FXX""}]",,,,FXX
Base DDIE,DDIE,"Pour les mines dites ""métalliques"" : positionnement des dépôts, analyses chimique et NITON pour les dépôts les plus importants, positionnement des principaux enjeux. Regroupement des dépôts en secteurs. Classement de ces secteurs en fonction de l'impact sanitaire et environnemental potentiel des dépôts qu'ils contiennent. Les contours géographiques sont aussi disponibles pour certains dépôts. Pour les mines de charbon : uniquement positionnement et contourage des dépôts.",,,"[""GEODERIS""]",,Sols/Air,,Inventaire des dépôts de résidus miniers ,,,Polluants du sol/polluants de l'air,,,false,false,Non renseigné,,,,,Environnement,,false,,,false,true,false,true,,Irrégulière,,2009 - 2012,2009,2012,true,"[{""label_fr"":""FXX"",""label_en"":""FXX""}]",,,,FXX
Réseau de Mesures de la Qualité des Sols (RMQS),RMQS,"Suivi de 2200 sites répartis uniformément sur le territoire français (métropole et outre-mer) selon une maille carrée de 16 km de côté ; Analyses physico-chimiques ; Eléments traces ; Occupations du sol ; Pratiques culturales; polluants organiques (HAP, Dioxines, furanes, PCB, pesticides organochlorés) ; analyses biologiques",,,"["" infosol@orleans.inra.fr/Nicolas Saby""]",,Sols,,Qualité des sols,,,Polluants du sol (composés organiques et métaux),,,false,true,Licence CC0,,,,,Environnement,,false,,,true,true,false,true,,Irrégulière,,2001 - en cours,2001,,true,"[{""label_fr"":""FRA"",""label_en"":""FRA""}]",,,,FRA
Base de Données Eléments Traces Métalliques (BDETM),BDETM,Analyses des teneurs en ETM réglementaires sur les terrains recevant des boues de station d'épuration urbaine. Les statistiques sont calculées sur des sous populations par tranche temporelle de 10 ans.,,,"[""infosol@inra.fr""]",,Sols,,Qualité des sols,,,Polluants du sol (métaux),,,false,true,Licence CC-BY-NC-SA,Attribution/ViralEffect-ShareAlike/PublicDomain/NonCommercialUseOnly ,,,,Environnement,,false,,,true,true,false,true,,Irrégulière,,1990-2010,1990,2010,true,"[{""label_fr"":""FXX"",""label_en"":""FXX""}]",,,,FXX
Base de données d'analyse des terres (BDAT),BDAT,"Avec la collaboration de laboratoires d’analyses de terre agréés par le ministère chargé de l’Agriculture, le Gis Sol met à disposition des résultats agrégés, issus du traitement des analyses de la BDAT (base de données des analyses de terre), soit plus de 2 millions d’échantillons d’horizons de surface de sols cultivés, prélevés en France entre 1990 et 2014. Ce sont ainsi plus de 26 millions de résultats d’analyses qui sont regroupées dans la base de données.",,,"[""infosol@inra.fr""]",,Sols,,Qualité agronomique des sols ,,,Polluants du sol (composés organiques et métaux),,,false,true,Licence CC-BY-NC-SA,Attribution/ViralEffect-ShareAlike/PublicDomain/NonCommercialUseOnly ,,,,Environnement,,false,,,true,true,false,true,,Irrégulière,,1990-2004 (2014 en théorie),1965,2004,true,"[{""label_fr"":""FXX"",""label_en"":""FXX""}]",,,,FXX
Base de Données Carbone France,BDCF,Teneur en carbone organique : Profils mesurés et géoréférencés contenant une information sur la teneur en carbone des sols,,,"[""infosol@orleans.inra.fr""]",,Sols,,Propriétés physico-chimiques des sols et occupation des terres ,,,,,,false,true,Non renseigné,,,,,Environnement,,false,,,true,true,true,true,,Irrégulière,,1965-1998,1995,1998,true,"[{""label_fr"":""FXX"",""label_en"":""FXX""}]",,,,FXX
Base de données géographiques des sols de France,BDGSF,"Type de sol : processus pédologiques responsables de la différenciation des sols, c'est-à-dire la brunification, le lessivage, la podzolisation, l'hydromorphie, etc.",,,"[""infosol@orleans.inra.fr""]",,Sols,,Connaissance du paysage pédologique ,,,Polluants du sol (composés organiques et métaux),,,false,true,Licence Ouverte Etalab,Attribution,,,,Environnement,,false,,,true,true,false,true,,Irrégulière,,1995 -,1995,,true,"[{""label_fr"":""FXX"",""label_en"":""FXX""}]",,,,FXX
