integration_status,organization,data_domain,theme_category,thematic_field,nature,environment,subthematic,exposure_factor_category,dataset_name,acronym,description,filter,search_engine,integration_status,license_name,licence_type,restrictions,downloadable,broadcast_mode,geospatial_data,geographical_geospatial_coverage,administrative_territory_coverage,geographical_information_level,projection_system,related_geographical_information,related_referentials,year_start,year_end,year,temporal_scale,update_frequency,automatic_update,last_updated,format,data_format,metrics_registered_elements,Volume,measurement_data,documentation,missing_data,compliance,pricing,contact,last_inserted,last_modification,comment,related_datasets,other_access_points,link,
true,Airparif,Environnement,Environnement,Air,,Air,Pollution atmosphérique ambiante,Polluants de l'air,emi idf departement 2015,,Emissions pour tous les secteurs d’activité confondus.,false,true,true,ODbl,Attribution,,true,Portail/API,true,IDF,Région Île-de-France,Département,,false,,2015,,2015,Y,Irrégulière,,2019-01-19T00:08:00.000Z,XLSX / Esri Shape / KML,"[""texte"",""chiffres"",""vector""]",,,true,,,,Gratuit,informatique@airparif.fr,2021-01-16T00:04:00.000Z,2021-01-16T00:04:00.000Z,,,,https://data-airparif-asso.opendata.arcgis.com/datasets/emi-idf-departement-2015-1?geometry=-1.452%2C48.044%2C6.458%2C49.314,
true,Airparif,Environnement,Environnement,Air,,Air,Pollution atmosphérique ambiante,Polluants de l'air,emi idf region 2015,,Emissions pour tous les secteurs d’activité confondus.,false,true,true,ODbl,Attribution,,true,Portail/API,true,IDF,Région Île-de-France,Région,,false,,2015,,2015,Y,Irrégulière,,2019-01-19T00:08:00.000Z,XLSX / Esri Shape / KML,"[""texte"",""chiffres"",""vector""]",,,true,,,,Gratuit,informatique@airparif.fr,2021-01-16T00:04:00.000Z,2021-01-16T00:04:00.000Z,,,,https://data-airparif-asso.opendata.arcgis.com/datasets/emi-idf-region-2015-1?geometry=-1.452%2C48.044%2C6.458%2C49.314,
true,Airparif,Environnement,Environnement,Air,,Air,Pollution atmosphérique ambiante,Polluants de l'air,exp idf zag 2017 pm10 35j sup 50ug,,"Exposition des populations et territoires au polluant PM10. Cette couche concerne l'exposition pour la zone d'agglomération (ZAG)  d'Île-de-France au critère ""35 jours supérieurs à 50µg/m3"" pour l'année 2017.Les valeurs suivantes sont exposées dans la couche : nbre_hab_expo : nombre d'habitants exposéssuperficie_expo : superficie exposée en km2longueur_voirie_expo : longueur de voirie exposée en km",false,true,true,ODbl,Attribution,,true,Portail/API,true,IDF,Région Île-de-France,Région,,false,,2017,,2017,Y,Irrégulière,,2019-01-29T00:08:00.000Z,XLSX / Esri Shape / KML / GEOJSON,"[""texte"",""chiffres"",""vector""]",1,,false,,,,Gratuit,informatique@airparif.fr,2021-01-16T00:04:00.000Z,2021-01-16T00:04:00.000Z,,,,https://data-airparif-asso.opendata.arcgis.com/datasets/exp-idf-zag-2017-pm10-35j-sup-50ug-1?geometry=0.346%2C48.509%2C4.301%2C49.142,
true,Airparif,Environnement,Environnement,Air,,Air,Pollution atmosphérique ambiante,Polluants de l'air,exp idf idf 2017 no2 moyennne annuelle,,"Exposition des populations et territoires au polluant NO2. Cette couche concerne l'exposition pour la totalité de la région Île-de-France au critère ""40 µg/m³ en moyenne annuelle en NO2"" pour l'année 2017.Les valeurs suivantes sont exposées dans la couche : nbre_hab_expo : nombre d'habitants exposéssuperficie_expo : superficie exposée en km2",false,true,true,ODbl,Attribution,,true,Portail/API,true,IDF,Région Île-de-France,Région,,false,,2017,,2017,Y,Irrégulière,,2019-01-29T00:08:00.000Z,XLSX / Esri Shape / KML / GEOJSON,"[""texte"",""chiffres"",""vector""]",1,,false,,,,Gratuit,informatique@airparif.fr,2021-01-16T00:04:00.000Z,2021-01-16T00:04:00.000Z,,,,https://data-airparif-asso.opendata.arcgis.com/datasets/exp-idf-idf-2017-no2-moyennne-annuelle-1?geometry=-1.452%2C48.044%2C6.458%2C49.314,
true,Airparif,Environnement,Environnement,Air,,Air,Pollution atmosphérique ambiante,Polluants de l'air,exp idf zag 2017 pm10 moyenne annuelle 40,,"Exposition des populations et territoires au polluant PM10. Cette couche concerne l'exposition pour la zone d'agglomération (ZAG)  d'Île-de-France au critère ""40 µg/m³ en moyenne annuelle en PM10"" pour l'année 2017.Les valeurs suivantes sont exposées dans la couche : nbre_hab_expo : nombre d'habitants exposéssuperficie_expo : superficie exposée en km2longueur_voirie_expo : longueur de voirie exposée en km",false,true,true,ODbl,Attribution,,true,Portail/API,true,IDF,Région Île-de-France,Région,,false,,2017,,2017,Y,Irrégulière,,2019-01-29T00:08:00.000Z,XLSX / Esri Shape / KML / GEOJSON,"[""texte"",""chiffres"",""vector""]",1,,false,,,,Gratuit,informatique@airparif.fr,2021-01-16T00:04:00.000Z,2021-01-16T00:04:00.000Z,,,,https://data-airparif-asso.opendata.arcgis.com/datasets/exp-idf-zag-2017-pm10-moyenne-annuelle-40-1?geometry=0.346%2C48.509%2C4.301%2C49.142,
true,Airparif,Environnement,Environnement,Air,,Air,Pollution atmosphérique ambiante,Polluants de l'air,exp idf idf 2017 pm10 moyenne annuelle 40,,"Exposition des populations et territoires au polluant PM10. Cette couche concerne l'exposition pour la totalité de la région Île-de-France au critère ""40 µg/m³ en moyenne annuelle en PM10"" pour l'année 2017.Les valeurs suivantes sont exposées dans la couche : nbre_hab_expo : nombre d'habitants exposéssuperficie_expo : superficie exposée en km2longueur_voirie_expo : longueur de voirie exposée en km",false,true,true,ODbl,Attribution,,true,Portail/API,true,IDF,Région Île-de-France,Région,,false,,2017,,2017,Y,Irrégulière,,2019-01-29T00:08:00.000Z,XLSX / Esri Shape / KML / GEOJSON,"[""texte"",""chiffres"",""vector""]",1,,false,,,,Gratuit,informatique@airparif.fr,2021-01-16T00:04:00.000Z,2021-01-16T00:04:00.000Z,,,,https://data-airparif-asso.opendata.arcgis.com/datasets/exp-idf-idf-2017-pm10-moyenne-annuelle-40-1?geometry=-1.452%2C48.044%2C6.458%2C49.314,
true,Airparif,Environnement,Environnement,Air,,Air,Pollution atmosphérique ambiante,Polluants de l'air,exp idf idf 2017 pm10 35j sup 50ug,,"Exposition des populations et territoires au polluant PM10. Cette couche concerne l'exposition pour la totalité de la région Ile-de-France au critère ""35 jours supérieurs à 50µg/m3"" pour l'année 2017.Les valeurs suivantes sont exposées dans la couche : nbre_hab_expo : nombre d'habitants exposéssuperficie_expo : superficie exposée en km2longueur_voirie_expo : longueur de voirie exposée en km",false,true,true,ODbl,Attribution,,true,Portail/API,true,IDF,Région Île-de-France,Région,,false,,2017,,2017,Y,Irrégulière,,2019-01-29T00:08:00.000Z,XLSX / Esri Shape / KML / GEOJSON,"[""texte"",""chiffres"",""vector""]",1,,false,,,,Gratuit,informatique@airparif.fr,2021-01-16T00:04:00.000Z,2021-01-16T00:04:00.000Z,,,,https://data-airparif-asso.opendata.arcgis.com/datasets/exp-idf-idf-2017-pm10-35j-sup-50ug?geometry=-1.452%2C48.044%2C6.458%2C49.314,
true,Airparif,Environnement,Environnement,Air,,Air,Pollution atmosphérique ambiante,Polluants de l'air,exp idf zag 2017 no2 moyennne annuelle,,"Exposition des populations et territoires au polluant NO2. Cette couche concerne l'exposition pour la zone d'agglomération (ZAG)  d'Île-de-France au critère ""40 µg/m³ en moyenne annuelle en NO2"" pour l'année 2017.Les valeurs suivantes sont exposées dans la couche : nbre_hab_expo : nombre d'habitants exposéssuperficie_expo : superficie exposée en km2longueur_voirie_expo : longueur de voirie exposée en km",false,true,true,ODbl,Attribution,,true,Portail/API,true,IDF,Région Île-de-France,Région,,false,,2017,,2017,Y,Irrégulière,,2019-01-29T00:08:00.000Z,XLSX / Esri Shape / KML / GEOJSON,"[""texte"",""chiffres"",""vector""]",1,,false,,,,Gratuit,informatique@airparif.fr,2021-01-16T00:04:00.000Z,2021-01-16T00:04:00.000Z,,,,https://data-airparif-asso.opendata.arcgis.com/datasets/exp-idf-zag-2017-no2-moyennne-annuelle-1/data?geometry=0.346%2C48.509%2C4.301%2C49.142,
false,ANDRA,Environnement,Environnement,Agents Physiques,Agents Physiques,,Déchets radioactifs ,Radioactivité,Inventaire et situation des déchets,OBSINV,"Description de la nature physique des déchets; Description des colis de déchets, volumes conditionnés (stocks et prévisions), activité des déchets (stocks et prévisions), toxiques chimiques",false,false,,Licence Ouverte Etalab,Attribution,,true,,true,FRA,France et DROM,Département / Commune /Code INSEE,,,Catégories et Familles de déchêts (publiées sur le site de l'Andra),2013,2019,2013-2019,Non renseigné,Annuelle,,2021-01-01T00:02:00.000Z,CSV,"[""texte"",""integer""]",6 000 sites (en 2019),"1,5Mo",false,"Description des champs, Explication de la méthode de collecte des données",,,Gratuit,ANDRA,2021-01-29T00:03:00.000Z,2021-01-29T00:03:00.000Z,,,DataGouv,https://inventaire.andra.fr/les-donnees/linventaire-national-en-open-data,
true,ANFR,Environnement,Environnement,Agents Physiques,Agents Physiques,,Radiofréquence,Ondes radioélectriques,Cartes des antennes et des mesures radioélectriques,Cartoradio,"Emplacement des stations radioélectriques et accès, pour un site donné, aux résultats des mesures de champs électromagnétiques synthétisés",true,false,true,Non renseigné,Attribution,Le téléchargement des données requiert une inscription préalable à Cartoradio,true,,true,FRA,France métropolitaine et DROM,Point de mesure / Antenne,WGS84/GPS,false,,2003,,2003 - en cours,M,Régulière,,2021-01-22T00:04:00.000Z,CSV / PDF / HTML,"[""texte"",""chiffre"",""cartographie""]",,,true,Glossaire,,,Gratuit,ANFR,2021-01-22T00:04:00.000Z,2021-01-22T00:04:00.000Z,,,,https://www.cartoradio.fr/index.html#/cartographie/mesures,
true,ANSES,Santé,Santé,Pesticides,Pesticides,,Contaminants chimiques dans l'alimentation,Polluants de l'alimentation,Etude de l'Alimentation Totale 2 (EAT),EAT2,"Teneur moyenne en divers contaminants chimiques dans les aliments ""tels que consommés"" (445 substances)",false,true,true,Licence Ouverte Etalab,Attribution,,true,,true,FRA,France métropolitaine,Région,,,,2007,2009,2007 - 2009,Non renseigné,Irrégulière,,2014-01-06T00:06:00.000Z,XLSX,"[""texte"",""chiffre""]",,3Mo,true,Rapport d'étude,,,Gratuit,ANSES,2021-01-22T00:04:00.000Z,2021-01-22T00:04:00.000Z,L'échantillonnage couvre environ 90% de la consommation alimentaire en France (population adultes et enfants > 3ans),,,https://www.data.gouv.fr/fr/datasets/donnees-regionales-eat2-etude-de-l-alimentation-totale/,
true,ASP | IGN,Environnement,"Agriculture, pêche, sylviculture et alimentation",Sols,,Sols,Milieux agricoles,Pesticides/biocides/NDVI,Registre Parcellaire Graphique,RPG,Le registre parcellaire graphique est une base de données géographiques servant de référence à l'instruction des aides de la politique agricole commune (PAC).,false,true,true,Licence Ouverte Etalab,Attribution,,true,,true,FXX+GLP+MTQ+GUF+REU,France métropolitaine et DROM (hors Mayotte),Parcelle / Coordonnées xy,RGF93/Lambert93/UTM,false,,2010,,2010- en cours,None,Annuelle,,2021-01-01T00:07:00.000Z,Esri Shape,,impossible de télécharger les données via datagouv (error proxy),impossible de télécharger les données via datagouv (error proxy),false,Brèves explications disponible sur datagouv,,Données anonymysées,Gratuit,ASP,,,API d'accès disponible sur le site du géoservices de l'IGN / Impossible de télécharger les données au format shapefile ou d'accèder à l'API,,Geoportail | Portail de l'ASP,https://www.data.gouv.fr/fr/datasets/registre-parcellaire-graphique-rpg-contours-des-parcelles-et-ilots-culturaux-et-leur-groupe-de-cultures-majoritaire/,
true,BRGM,Environnement,Environnement,Sols,,Sols,Sites et sols pollués,Polluants du sol (composés organiques et métaux),BASIAS - Inventaire historique de Sites Industriels et Activités de Service,BASIAS,"L’inventaire des anciennes activités industrielles et activités de service, est conduit systématiquement à l’échelle départementale depuis 1994. Les données recueillies dans le cadre de ces inventaires sont archivées dans une base de données nationale, BASIAS (Base des Anciens Sites Industriels et Activités de Service) disponible sur Internet.",,true,true,Licence Ouverte Etalab,Attribution,,true,,true,FXX+GLP+MTQ+GUF+REU,France métropolitaine et DROM (hors Mayotte),Site/ Adresse / Coordonnées xy,WGS84/Lambert2 Etendu,false,,1994,,1994 - en cours,None,Irrégulière,,,CSV / Plain text,,322 400 sites,"732,8 Mo",false,Explication disponible sur georisque,,RGPD (CNIL),Gratuit via le site internet et pour les demandes d'informations ponctuelles. Devis pour demandes spécifiques de fourniture de données.,basias@brgm.fr,2021-01-11T00:02:00.000Z,2021-01-11T00:02:00.000Z,"Enrichissement et mise à jour continue de BASIAS en développant les échanges de données avec les administrations et les communes. Reprises d'inventaires départementaux et urbains (IHU) détaillés à la demande.Des erreurs de localisation peuvent exister et la précision sur la localisation des sites est variable, en fonction des dossiers d’archives ; il existe un certain nombre de sites identifiés mais non localisés (sans coordonnées géographiques) qui n’apparaissent pas dans la cartographie ; les données ne peuvent être exhaustives, ni à jour (voir les dates de réalisation des inventaires dans les préambules départementaux). Néanmoins les données peuvent être rectifiées et complétées à la demande ; l’existence d’un site  BASIAS ne préjuge pas d'une éventuelle pollution à son endroit.",Matrice Activités-Polluants / BASOL,DataGouv | Georisque,https://www.georisques.gouv.fr/donnees/bases-de-donnees/inventaire-historique-de-sites-industriels-et-activites-de-service,
