acronym,administrative_territory_coverage,automatic_update,broadcast_mode,contact,contact_type,data_domain,data_format,dataset_type,description,downloadable,environment,exposure_factor,exposure_factor_category,geographical_geospatial_coverage,geographical_information_level,has_compliance,has_documentation,has_filter,has_missing_data,has_pricing,has_restrictions,has_search_engine,is_geospatial_data,is_opendata,license_name,license_type,link,measurement_data,name,nature,organizations,other_access_points,projection_system,related_datasets,related_geographical_information,related_referential,state,subthematic,temporal_scale,theme_category,update_frequency,volume,year,year_end,year_start
BDETM,"[""Région Île-de-France""]",true,"[""API"",""Portail""]",infosol@inra.fr,"[""email""]",Environnement,"[""xlsx"",""esri shape"",""kml""]",dataset,Analyses des teneurs en ETM réglementaires sur les terrains recevant des boues de station d'épuration urbaine. Les statistiques sont calculées sur des sous populations par tranche temporelle de 10 ans.,false,"[""Sols""]","[""no2""]","[""polluants du sol"",""métaux""]","[""IDF""]",Point de mesure / Commune,true,true,true,true,true,true,true,true,,Licence CC-BY-NC-SA,"[""""]",,true,Base de Données Eléments Traces Métalliques (BDETM),,"[{""name_en"":""ADEME"",""name_fr"":""ADEME"",""id"":""618828fd32132fc0e1c3b652""},{""name_en"":""INRA"",""name_fr"":""INRA"",""id"":""618828fd32132fc0e1c3b660""}]","[""http://www.gissol.fr/donnees/donnees-de-la-bdetm-2873""]","[""""]",[],false,,true,Qualité des sols,données agrégées par période de 10 ans,Environnement,Irrégulière,366 Ko,"[""1990-2010""]",2010,1990
BDGSF,"[""Région Île-de-France""]",true,"[""API"",""Portail""]",infosol@orleans.inra.fr,"[""email""]",Environnement,"[""xlsx"",""esri shape"",""kml""]",dataset,"Type de sol : processus pédologiques responsables de la différenciation des sols, c'est-à-dire la brunification, le lessivage, la podzolisation, l'hydromorphie, etc.",true,"[""Sols""]","[""pm25""]","[""polluants du sol"",""composés organiques"",""métaux""]","[""IDF""]",UCS|  UTS|  1:1 000 000,true,true,true,false,true,true,true,true,,Licence Ouverte Etalab,"[""Attribution""]",https://esdac.jrc.ec.europa.eu/resource-type/european-soil-database-soil-properties,true,Base de données géographiques des sols de France,,"[{""name_en"":""INRAE"",""name_fr"":""INRAE"",""id"":""618828fd32132fc0e1c3b661""}]","[""https://data.inrae.fr/dataset.xhtml?persistentId=doi:10.15454/BPN57S""]","[""""]",[],true,,true,Connaissance du paysage pédologique ,N/A,Environnement,irrégulière,,"[""1995 -""]",,1995
BdSolU,"[""Région Île-de-France""]",true,"[""API"",""Portail""]",bdsolu@brgm.fr,"[""email""]",Environnement,"[""xlsx"",""esri shape"",""kml""]",dataset,"Principales analyses : arsenic, cuivre, chrome, plomb, zinc, nickel, cadmium, mercure, cyanures totaux, indice phénol, fractions carbonées des hydrocarbures C10 à C40, PCB indicateurs, 7 PCDD et 10 PCDF et métadonnées",true,"[""Sols""]","[""pm10""]","[""polluants du sol"",""composés organiques"",""métaux""]","[""IDF""]",Site (détail limité à la Commune),false,false,true,false,true,false,true,true,,Non renseigné,"[""""]",http://www.bdsolu.fr/page/consultation,true,Base de données sur la qualité des sols urbains,,"[{""name_en"":""BRGM"",""name_fr"":""BRGM"",""id"":""618828fd32132fc0e1c3b65b""}]","[""""]","[""""]",[],false,,true,Qualité des sols urbains,N/A,Environnement,irrégulière,1 356 Ko,"[""2010 - en cours""]",,2010
BASIAS,"[""Région Île-de-France""]",false,"[""API"",""Portail""]",basias@brgm.fr,"[""email""]",Environnement,"[""xlsx"",""esri shape"",""kml""]",dataset,"L’inventaire des anciennes activités industrielles et activités de service, est conduit systématiquement à l’échelle départementale depuis 1994. Les données recueillies dans le cadre de ces inventaires sont archivées dans une base de données nationale, BASIAS (Base des Anciens Sites Industriels et Activités de Service) disponible sur Internet.",true,"[""Sols""]","[""o3""]","[""polluants du sol"",""composés organiques"",""métaux""]","[""IDF""]",Site (Adresse et coordonnées x/y),false,false,false,false,true,true,true,true,,Licence Ouverte Etalab,"[""Attribution""]",https://www.georisques.gouv.fr/donnees/bases-de-donnees/inventaire-historique-de-sites-industriels-et-activites-de-service,true,BASIAS - Inventaire historique de Sites Industriels et Activités de Service,,"[{""name_en"":""BRGM"",""name_fr"":""BRGM"",""id"":""618828fd32132fc0e1c3b65b""}]","[""DataGouv / Georisque""]","[""WGS84"",""Lambert 2 étendu""]",[],true,,true,Sites et sols pollués,N/A,Environnement,Irrégulière (selon mise à jour à réaliser),"732,8 Mo","[""1994 - en cours""]",,1994
BASOL,"[""Région Île-de-France""]",true,"[""API"",""Portail""]",Direction de la prévention des pollutions et des risques,"[""email""]",Environnement,"[""xlsx"",""esri shape"",""kml""]",dataset,"Sites et sols pollués (ou potentiellement pollués) appelant une action des pouvoirs publics, à titre préventif ou curatif. Identification et localisation du site, caractérisation du site, description du site, situation technique du site et caract􏰁risation de l􏰀impact, utilisation et environnement du site, impacts constat􏰁s, surveillance du site et restriction d􏰀usage, traitements effectués",true,"[""Sols""]","[""nox""]","[""polluants du sol"",""composés organiques"",""métaux""]","[""IDF""]",Point de mesure (Adresse et coordonnées x/y),false,false,true,false,true,true,true,true,,Licence Ouverte Etalab,"[""Attribution""]",https://www.georisques.gouv.fr/articles-risques/basol#acces-aux-donnees-,true,BASOL,,"[{""name_en"":""MTES"",""name_fr"":""MTES"",""id"":""618828fd32132fc0e1c3b668""}]","[""DataGouv / Géorisque""]","[""Lambert 93"",""Lambert 2 étendu""]",[],true,,true,Sites et sols pollués,N/A,Environnement,Irrégulière (selon mise à jour à réaliser),"61,2 Mo","[""1992 - en cours""]",,1992
BD Lisa,"[""Région Île-de-France""]",false,"[""Portail""]",sandre@sandre.eaufrance.fr,"[""email""]",Référentiel,"[""csv""]",dataset,"Ce référentiel comporte les jeux de données géographiques suivants :- Entités hydrogéologiques de niveau 3 (local) ;- Polygones élémentaires délimitant chaque pile unique d'entités hydrogéologiques ;- Zones karstiques, zones caractérisées comme étant de milieu karstique ou alimentant des sources karstiques;- Zones altérites meubles, polygones d’extension des zones au sein desquelles la présence de formations géologiques altérées meubles (saprolite) a été mise en évidence ou est supposée.",true,"[""Eau""]","[""métaux""]","[""""]","[""IDF""]",lat/long   1 /50 000,false,true,true,true,true,true,true,true,,Licence Ouverte Etalab,"[""Attribution""]",https://www.sandre.eaufrance.fr/atlas/srv/fre/catalog.search#/metadata/769f36e0-eb23-4014-ad63-fb468fcd7488,false,BD Lisa,,"[{""name_en"":""BRGM"",""name_fr"":""BRGM"",""id"":""618828fd32132fc0e1c3b65b""}]","[""https://bdlisa.eaufrance.fr/telechargement""]","[""""]",[],false,false,true,Référentiel hydrogéologique français,N/A,Environnement,Annuelle,,"[""""]",,
BD Topage,"[""Région Île-de-France""]",false,"[""Portail""]",contact.geoservices@ign.fr,"[""email""]",Référentiel,"[""csv""]",dataset,"La BD TOPAGE® se compose des jeux de données * des cours d'eau, plans d'eau, tronçons hydrographiques, surfaces élémentaires, noeuds hydrographiques (sources et exutoires), limites terre-mer, bassins hydrographiques et bassins versants topographiques (ces trois derniers jeux de données * seront remplacés par des données plus précises à moyen terme).",true,"[""Eau""]","[""métaux""]","[""""]","[""IDF""]",lat/long ; 1/5 000|  1/50 000,false,false,true,false,true,true,true,true,,Licence Ouverte Etalab,"[""Attribution""]",https://www.sandre.eaufrance.fr/atlas/srv/fre/catalog.search#/metadata/3b3d3c56-d9b6-4625-a57e-ba054e798274,true,BD Topage,,"[{""name_en"":""OIEau"",""name_fr"":""OIEau"",""id"":""618828fd32132fc0e1c3b66d""}]","[""""]","[""Lambert 93"",""WGS84""]",[],true,,true,Référentiel hydrographique français,N/A,Environnement,Annuelle,,"[""2019""]",,2019
BRAMM,"[""Région Île-de-France""]",true,"[""API"",""Portail""]",sleblond@mnhn.fr,"[""email""]",Environnement,"[""xlsx"",""esri shape"",""kml""]",dataset,"Le dispositif BRAMM permet de cartographier et de modéliser les concentrations en contaminants métalliques et azoté dans des mousses forestières sur l’ensemble du territoire métropolitain. Des campagnes quinquennales sont réalisées depuis 1996 (1996, 2000, 2006, 2011 et 2016) et portent sur environ 500 sites de collectes répartis sur l’ensemble du territoire. Ces sites sont localisés en milieu rural, loin des sources locales de pollution, et forestier, sous couvert arboré. Description générale du site ; Valeurs de concentrations en éléments (Al, As, Cd, Cr, Cu, Fe, Hg, N, Ni, Pb, Sb, V, Zn + autres éléments selon les campagnes )",true,"[""""]","[""""]","[""polluants de l'air""]","[""IDF""]",Site (coordonnées xy),true,true,true,false,true,true,true,true,,Licence SINP,"[""""]",https://inpn.mnhn.fr/espece/jeudonnees/2567,true,Biosurveillance des Retombées Atmosphériques Métalliques par les Mousses,,"[{""name_en"":""UMS 2006 Patrimoine Naturel"",""name_fr"":""UMS 2006 Patrimoine Naturel"",""id"":""618828fd32132fc0e1c3b674""}]","[""OpenObs (API)"",""GBIF (Portail)""]","[""""]",[],true,,true,Qualité de l'air,5 ans,Environnement,,"10,9 Mo","[""1996 - 2016""]",,1996
CNEP,"[""Région Île-de-France""]",true,"[""API"",""Portail""]",ANSES,"[""email""]",Environnement,"[""xlsx"",""esri shape"",""kml""]",dataset,"Menée par l’ANSES, lancée en juin 2018 sur 12 mois. Mesure (protocole harmonisé) de 75 substances ; 1 300 analyses pour chacune de ces substances. 100 000 données collectées sur une année, 1 800 échantillons analysés et 75 substances mesurées sur 50 sites répartis sur le territoire national",true,"[""""]","[""""]","[""polluants de l'air""]","[""IDF""]",Région/département/commune/site de mesure,false,false,true,false,true,false,true,true,,Non renseigné,"[""""]",https://www.lcsqa.org/fr/rapport/resultats-de-la-campagne-nationale-exploratoire-de-mesure-des-residus-de-pesticides-dans,true,Campagne Nationale Exploratoire des Pesticides,Pesticides,"[{""name_en"":""ANSES"",""name_fr"":""ANSES"",""id"":""618828fd32132fc0e1c3b659""},{""name_en"":""INERIS"",""name_fr"":""INERIS"",""id"":""618828fd32132fc0e1c3b654""},{""name_en"":""ATMO France"",""name_fr"":""ATMO France"",""id"":""618828fd32132fc0e1c3b650""}]","[""""]","[""""]",[],true,,true,Pesticides dans l'air,,Environnement,Non renseigné,,"[""2018-2019""]",,2018
,"[""Région Île-de-France""]",true,"[""API"",""Portail""]",contact-pont@valabre.com,"[""email""]",Référentiel,"[""xlsx"",""esri shape"",""kml""]",dataset,Le carroyage DFCI est un maillage géographique utilisé en France par les acteurs de la Défense des forêts contre les incendies (DFCI).,true,"[""Sols""]","[""""]","[""polluants de l'air"",""pesticides"",""ndvi""]","[""IDF""]",Carreau 2km/2km,false,false,true,false,true,true,true,true,,Licence Ouverte Etalab,"[""Attribution""]",https://www.data.gouv.fr/fr/datasets/carroyage-dfci-2-km/,true,Carroyage DFCI,,"[{""name_en"":""Entente Valabre"",""name_fr"":""Entente Valabre"",""id"":""618828fd32132fc0e1c3b65e""}]","[""Géoportail""]","[""""]",[],true,,true,Carroyage,N/A,Environnement,Irrégulière,,"[""""]",,
BD Carto,"[""Région Île-de-France""]",true,"[""API"",""Portail""]",sav.bd@ign.fr,"[""email""]",Environnement,"[""xlsx"",""esri shape"",""kml""]",dataset,Fond cartographique proposé par l’Institut national de l’information géographique et forestière (IGN).,true,"[""Sols""]","[""""]","[""indicateurs socio-démographiques""]","[""IDF""]",Latitude/Longitude,false,false,true,false,true,true,true,true,,Licence Ouverte Etalab,"[""Attribution""]",https://geoservices.ign.fr/documentation/diffusion/telechargement-donnees-libres.html#bd-carto,true,Carte IGN,,"[{""name_en"":""IGN"",""name_fr"":""IGN"",""id"":""618828fd32132fc0e1c3b664""}]","[""Géoportail""]","[""Lambert 93"",""UTM""]",[],true,,true,Fond cartographique,N/A,Régions et villes,Irrégulière,,"[""Non renseigné""]",,
,"[""Région Île-de-France""]",true,"[""API"",""Portail""]",SSP ministère de l'Agriculture,"[""email""]",Environnement,"[""xlsx"",""esri shape"",""kml"",""geojson""]",dataset,"Il s'agit ici de la superficie drainée ou assainie par un réseau de drains enterrés. Ne sont pas prises en compte les superfcies dont les drains n'évacuent plus, ni celles qui ne sont drainées que ponctuellement (captage de mouillères), à l'aide d'un seul drain et non d'un réseau.",true,"[""""]","[""pm10""]","[""pesticides"",""biocides"",""ndvi""]","[""IDF""]",Région|  Département|  Canton|  Commune,false,false,true,false,true,true,true,true,,Non renseigné,"[""""]",https://agreste.agriculture.gouv.fr/agreste-web/disaron/Carte-RA-saudrai10/detail/,true,Carte interactive - part de la superficie drainée dans la superficie agricole utilisée (SAU) en 2010,,"[{""name_en"":""SSP  /  Ministère de l'Agriculture et de l’Alimentation"",""name_fr"":""SSP  /  Ministère de l'Agriculture et de l’Alimentation"",""id"":""618828fd32132fc0e1c3b673""}]","[""""]","[""""]",[],true,,true,Milieux agricoles,N/A,"Agriculture, pêche, sylviculture et alimentation",Irrégulière,,"[""2010""]",,
,"[""Région Île-de-France""]",false,"[""API"",""Portail""]",SSP minitère de l'Agriculture,"[""email""]",Environnement,"[""xlsx"",""esri shape"",""kml"",""geojson""]",dataset,"Les surfaces agricoles et les cheptels sont valorisés selon des coefficients permettant le calcul de la production brute standard (PBS). Ces coefficients résultent des valeurs moyennes calculées sur la période 2005 à 2009. La PBS décrit un potentielde production des exploitations et permet de les classer en « moyennes et grandes exploitations » quand elle est supérieure ou égale à 25 000 euros, en « grandes exploitations » quand elle est supérieure ou égale à 100 000 euros.",true,"[""""]","[""no2""]","[""pesticides"",""biocides"",""ndvi""]","[""IDF""]",Région|  Département|  Canton,false,false,true,false,true,true,true,true,,Non renseigné,"[""""]",https://agreste.agriculture.gouv.fr/agreste-web/disaron/Carte-RA-pbsmoy10/detail/,true,Carte interactive - production brute standard (PBS) moyenne par exploitation en 2010,,"[{""name_en"":""SSP  /  Ministère de l'Agriculture et de l’Alimentation"",""name_fr"":""SSP  /  Ministère de l'Agriculture et de l’Alimentation"",""id"":""618828fd32132fc0e1c3b673""}]","[""""]","[""""]",[],true,,true,Milieux agricoles,N/A,"Agriculture, pêche, sylviculture et alimentation",Irrégulière,,"[""2010""]",,
BD Topo,"[""Région Île-de-France""]",true,"[""API"",""Portail""]",sav.bd@ign.fr,"[""email""]",Environnement,"[""xlsx"",""esri shape"",""kml"",""geojson""]",dataset,"La carte topographique représente avec précision le relief, symbolisé par des courbes de niveaux, ainsi que les détails du terrain : routes, sentiers, constructions, bois, arbres isolé, rivières, sources…",true,"[""Sols""]","[""pm10""]","[""indicateurs socio-démographiques""]","[""IDF""]",Latitude/Longitude,false,false,true,false,true,true,true,true,,Licence Ouverte Etalab,"[""Attribution""]",https://geoservices.ign.fr/documentation/diffusion/telechargement-donnees-libres.html#bd-topo,true,Carte topographique IGN,,"[{""name_en"":""IGN"",""name_fr"":""IGN"",""id"":""618828fd32132fc0e1c3b664""}]","[""Géoportail / DataGouv""]","[""Lambert 93"",""UTM"",""WGS84""]",[],true,,true,Carte des reliefs,N/A,Régions et villes,Irrégulière,,"[""Non renseigné""]",,
Cartoradio,"[""Région Île-de-France""]",false,"[""API"",""Portail""]",ANFR,"[""email""]",Environnement,"[""xlsx"",""esri shape"",""kml"",""geojson""]",dataset,"Emplacement des stations radioélectriques et accès, pour un site donné, aux résultats des mesures de champs électromagnétiques synthétisés",true,"[""""]","[""pm10""]","[""ondes radioélectriques""]","[""IDF""]",Station de mesure / antenne,false,true,true,false,true,true,true,true,,Non renseigné,"[""Attribution""]",https://www.cartoradio.fr/index.html#/cartographie/mesures,true,Cartes des antennes et des mesures radioélectriques,Agents Physiques,"[{""name_en"":""ANFR"",""name_fr"":""ANFR"",""id"":""618828fd32132fc0e1c3b658""}]","[""""]","[""WGS84"",""GPS""]",[],true,,true,Radiofréquence,Irrégulière,Environnement,Régulière,,"[""2003 - en cours""]",,2003
,"[""Région Île-de-France""]",true,"[""API"",""Portail""]",GIS Sol / RMT,"[""email""]",Environnement,"[""xlsx"",""esri shape"",""kml"",""geojson""]",dataset,Représentation des différents types de sols dominants en France métropolitaine.,true,"[""Sols""]","[""pm10""]","[""polluants du sol""]","[""IDF""]",UCS|  UTS|  1:1 000 000,true,false,true,false,true,true,true,true,,Licence Ouverte Etalab,"[""Attribution""]",https://www.geoportail.gouv.fr/donnees/carte-des-sols,true,Cartes des sols métropolitains,,"[{""name_en"":""IGN"",""name_fr"":""IGN"",""id"":""618828fd32132fc0e1c3b664""}]","[""""]","[""""]",[],true,,true,Occupation des sols,N/A,Environnement,Irrégulière,/,"[""""]",,
,"[""Région Île-de-France""]",false,"[""API"",""Portail""]",Non trouvé,"[""email""]",Environnement,"[""xlsx"",""esri shape"",""kml"",""geojson""]",dataset,Cartographie national de bruit produite par le Cerema pour le rapportage européen,true,"[""""]","[""no2""]","[""bruit""]","[""IDF""]",,false,true,true,false,true,true,true,true,,Non renseigné,"[""""]",https://www.eionet.europa.eu/,true,Cartes stratégiques de bruit - rapportage européen,Agents Physiques,"[{""name_en"":""Cerema"",""name_fr"":""Cerema"",""id"":""618828fe32132fc0e1c3b675""}]","[""""]","[""""]",[],true,,true,Bruit,?,Environnement,Non renseigné,,"[""1994""]",,
